Blood(T_helper_naive_cells)	Brain(Germinal_Matrix)	Heart(Right_Atrium)
NYNRIN	0.211	24.705	5.716
NYX	0.0	0.005	0.0
OAF	1.484	4.558	20.734
OARD1	10.208	4.481	4.94
OAS1	1.456	0.36	2.844
OAS2	11.021	0.187	2.948
OAS3	9.228	2.429	4.11
OASL	1.018	0.012	0.784
OAT	10.271	30.575	21.409
OAZ1	148.375	289.294	768.568
OAZ3	1.976	0.438	0.208
OBP2A	0.0	0.052	0.0
OBP2B	0.0	0.005	0.023
OBSCN	29.525	4.586	74.801
OBSL1	0.086	15.841	56.672
OC90	0.01	0.023	0.0
OCA2	0.0	0.686	0.302
OCEL1	7.29	4.702	27.478
OCIAD1	31.271	23.225	54.962
OCIAD2	21.587	15.709	6.073
OCLN	0.391	1.711	0.558
OCM	11.216	0.443	0.041
OCM2	0.814	0.0	0.0
OCRL	6.958	15.832	7.023
OCSTAMP	0.0	0.014	0.0
ODAM	0.0	0.0	0.015
ODC1	35.261	152.653	15.954
ODF1	0.0	0.149	0.022
ODF2	9.329	15.909	5.664
ODF2L	10.527	4.983	2.167
ODF3	0.423	0.0	0.022
ODF3B	0.902	0.579	10.122
ODF3L1	0.099	0.216	1.65
ODF3L2	0.0	0.07	0.195
ODF4	0.013	0.0	0.0
OFCC1	0.0	0.0	0.0
OFD1	24.44	7.288	6.029
OGDH	15.789	22.312	147.141
OGDHL	0.0	1.632	5.235
OGFOD1	13.782	9.712	17.089
OGFOD2	9.552	2.673	5.807
OGFOD3	6.287	3.909	16.662
OGFR	31.064	12.273	15.543
OGFRL1	5.834	3.696	3.893
OGG1	5.985	27.493	4.996
OGN	0.668	0.298	15.765
OGT	290.578	53.599	19.993
OIP5	0.913	7.916	0.231
OIT3	0.018	0.054	2.357
OLA1	8.391	27.757	17.014
OLAH	0.047	0.012	0.135
OLFM1	0.0	36.129	6.304
OLFM2	2.811	156.48	15.38
OLFM3	0.0	0.941	0.01
OLFM4	1.943	0.114	0.806
OLFML1	0.221	0.284	5.617
OLFML2A	0.01	0.538	15.366
OLFML2B	0.081	3.957	2.721
OLFML3	0.0	6.782	21.371
OLIG1	0.019	49.177	0.095
OLIG2	0.013	25.674	0.0
OLIG3	0.0	0.0	0.0
OLR1	0.284	2.795	0.274
OMA1	8.125	1.776	10.007
OMD	0.116	0.046	12.482
OMG	1.264	13.284	0.012
OMP	0.219	0.125	0.203
ONECUT1	0.0	0.089	0.036
ONECUT2	0.0	1.072	0.04
ONECUT3	0.0	0.007	0.0
OOEP	0.064	0.019	0.016
OOSP1	0.117	0.0	0.0
OOSP2	0.0	0.0	0.0
OPA1	15.957	10.52	19.689
OPA3	3.635	1.083	13.977
OPALIN	0.0	0.0	0.0
OPCML	0.0	6.637	0.125
OPHN1	0.046	9.795	1.181
OPN1LW	0.016	0.0	0.0
OPN1MW2	0.0	0.0	0.0
OPN1SW	2.256	0.18	0.261
OPN3	2.299	6.406	4.933
OPN4	0.0	0.127	1.424
OPN5	0.0	0.0	0.0
OPRD1	0.0	0.207	0.0
OPRK1	0.0	0.138	0.338
OPRL1	0.742	2.574	0.869
OPRM1	0.529	0.076	0.0
OPRPN	0.0	0.0	0.0
OPTC	0.0	0.024	0.051
OPTN	22.569	28.667	46.221
OR10A2	0.163	0.0	0.0
OR10A3	0.0	0.0	0.0
OR10A4	0.0	0.0	0.0
OR10A5	0.115	0.0	0.0
OR10A7	0.0	0.0	0.0
OR10AB1P	0.039	0.0	0.05
OR10AD1	0.276	0.0	0.0
OR10AG1	0.0	0.0	0.0
OR10C1	0.0	0.0	0.0
OR10D3	0.0	0.0	0.0
OR10G2	0.412	0.0	0.0
OR10G3	0.0	0.0	0.0
OR10G4	0.0	0.0	0.0
OR10G7	0.0	0.0	0.004
OR10G8	0.0	0.0	0.0
OR10G9	0.0	0.0	0.0
OR10H1	0.0	0.0	0.0
OR10H2	0.042	0.0	0.0
OR10H3	0.0	0.0	0.0
OR10H4	0.0	0.0	0.0
OR10H5	0.0	0.087	0.0
OR10J1	0.0	0.0	0.0
OR10J3	0.0	0.0	0.0
OR10J5	0.0	0.0	0.0
OR10K1	0.0	0.0	0.0
OR10K2	0.0	0.0	0.0
OR10P1	0.0	0.0	2.625
OR10Q1	0.0	0.082	0.012
OR10R2	0.0	0.0	0.0
OR10S1	0.0	0.0	0.0
OR10T2	0.0	0.0	0.0
OR10V1	0.0	0.0	0.0
OR10W1	0.0	0.0	0.0
OR10Z1	0.0	0.0	0.0
OR11A1	0.0	0.0	0.0
OR11G2	0.0	0.0	0.0
OR11H1	0.0	0.0	0.0
OR11H12	0.0	0.0	0.0
OR11H4	0.076	0.0	0.0
OR11H6	0.0	0.0	0.0
OR11L1	0.0	0.0	0.0
OR12D3	0.0	0.0	0.0
OR13A1	0.023	0.061	0.021
OR13C3	0.0	0.0	0.0
OR13C4	0.0	0.0	0.0
OR13C8	0.0	0.0	0.0
OR13C9	0.0	0.03	0.0
OR13D1	0.039	0.0	0.0
OR13F1	0.007	0.0	0.0
OR13G1	0.0	0.0	0.0
OR13H1	0.0	0.0	0.0
OR13J1	0.0	0.0	0.0
OR14A16	0.0	0.0	0.0
OR14A2	0.0	0.0	0.0
OR14C36	0.0	0.0	0.0
OR14I1	0.0	0.0	0.0
OR14J1	0.0	0.0	0.0
OR14K1	0.0	0.0	0.0
OR1A1	0.0	0.0	0.0
OR1A2	0.0	0.0	0.0
OR1C1	0.0	0.0	0.0
OR1D2	0.0	0.0	0.0
OR1E1	0.0	0.256	0.0
OR1E2	0.0	0.291	0.0
OR1F1	0.168	0.45	0.0
OR1G1	0.0	0.069	0.0
OR1I1	0.0	0.0	0.0
OR1J1	0.045	0.0	0.0
OR1J2	0.016	0.0	0.0
OR1J4	0.046	0.0	0.0
OR1K1	0.429	0.0	0.0
OR1L1	0.04	0.0	0.0
OR1L3	0.115	0.0	0.0
OR1L4	0.222	0.0	0.0
OR1L6	0.288	0.0	0.0
OR1L8	0.61	0.113	0.017
OR1M1	0.0	0.0	0.0
OR1N1	0.01	0.0	0.0
OR1N2	0.022	0.0	0.0
OR1Q1	0.23	0.0	0.0
OR1S2	0.0	0.0	0.0
OR2A1	5.154	0.091	0.078
OR2A12	0.0	0.0	0.0
OR2A14	0.042	0.0	0.0
OR2A2	0.0	0.0	0.0
OR2A25	0.028	0.0	0.0
OR2A4	4.147	0.016	0.215
OR2A42	3.661	0.091	0.169
OR2A5	0.042	0.028	0.0
OR2A7	7.625	0.105	0.311
OR2AE1	1.443	0.0	0.096
OR2AG2	0.201	0.0	0.0
OR2AJ1	0.0	0.029	0.0
OR2AK2	0.569	0.026	0.0
OR2AP1	0.0	0.0	0.0
OR2AT4	0.0	0.0	0.0
OR2B11	0.0	0.0	0.0
OR2B2	0.0	0.0	0.0
OR2B3	0.0	0.0	0.0
OR2B6	0.0	0.03	0.012
OR2C1	0.125	0.165	0.007
OR2C3	0.004	0.0	0.0
OR2D2	0.077	0.0	0.0
OR2D3	0.0	0.0	0.0
OR2F1	0.0	0.0	0.0
OR2F2	0.0	0.0	0.0
OR2G2	0.0	0.0	0.0
OR2G3	0.0	0.0	0.0
OR2G6	0.0	0.0	0.0
OR2H1	0.0	0.0	0.0
OR2H2	0.881	0.08	0.032
OR2J1	0.0	0.0	0.036
OR2J2	0.0	0.0	0.0
OR2J3	0.0	0.0	0.0
OR2K2	0.124	0.054	0.02
OR2L13	0.403	0.164	0.0
OR2L2	1.023	0.224	0.0
OR2L3	0.147	0.022	0.0
OR2L5	0.358	0.034	0.0
OR2M2	0.0	0.0	0.0
OR2M3	0.081	0.013	0.0
OR2M4	0.0	0.03	0.0
OR2M5	0.0	0.0	0.0
OR2M7	0.0	0.0	0.0
OR2T1	0.0	0.0	0.0
OR2T10	0.0	0.0	0.0
OR2T12	0.022	0.044	0.0
OR2T2	0.058	0.0	0.0
OR2T27	0.037	0.0	0.0
OR2T29	0.0	0.0	0.0
OR2T3	0.0	0.0	0.0
OR2T33	0.04	0.027	0.0
OR2T34	0.0	0.0	0.0
OR2T35	0.045	0.0	0.0
OR2T4	0.0	0.0	0.0
OR2T5	0.0	0.0	0.0
OR2T6	0.0	0.0	0.0
OR2T8	0.0	0.03	0.0
OR2V1	0.0	0.0	0.0
OR2V2	0.0	0.0	0.0
OR2W1	0.0	0.0	0.0
OR2W3	0.15	1.651	0.074
OR2Y1	0.0	0.0	0.0
OR2Z1	0.0	0.0	0.0
OR3A1	0.0	0.06	0.029
OR3A2	0.08	0.105	0.043
OR3A3	0.0	0.252	0.0
OR4A15	0.0	0.0	0.0
OR4A16	0.0	0.0	0.0
OR4A47	0.0	0.0	0.0
OR4A5	0.0	0.0	0.0
OR4B1	0.0	0.0	0.0
OR4C11	0.0	0.0	0.0
OR4C12	0.0	0.0	0.0
OR4C13	0.0	0.0	0.0
OR4C15	0.0	0.0	0.0
OR4C3	0.0	0.0	0.0
OR4C46	0.0	0.0	0.0
OR4C5	0.0	0.0	0.023
OR4C6	0.0	0.0	0.0
OR4D1	0.084	0.0	0.0
OR4D10	0.0	0.0	0.0
OR4D11	0.0	0.0	0.0
OR4D2	0.007	0.0	0.0
OR4D5	0.0	0.0	0.022
OR4D6	0.0	0.0	0.0
OR4D9	0.0	0.0	0.0
OR4E2	0.068	0.0	0.0
OR4F15	0.0	0.0	0.0
OR4F17	0.0	0.0	0.0
OR4F21	0.01	0.043	0.0
OR4F3	0.0	0.057	0.0
OR4F4	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0
OR4F6	0.0	0.0	0.0
OR4K1	0.0	0.0	0.0
OR4K13	0.0	0.0	0.0
OR4K14	0.0	0.0	0.0
OR4K15	0.0	0.0	0.0
OR4K17	0.0	0.0	0.0
OR4K2	0.0	0.0	0.0
OR4K5	0.0	0.0	0.0
OR4L1	0.0	0.0	0.0
OR4M1	0.0	0.0	0.0
OR4N2	0.0	0.0	0.0
OR4N4	0.0	0.0	0.03
OR4N5	0.046	0.0	0.0
OR4P4	0.0	0.0	0.0
OR4Q3	0.0	0.0	0.0
OR4S1	0.0	0.0	0.0
OR4S2	0.0	0.0	0.0
OR4X1	0.0	0.0	0.0
OR4X2	0.0	0.0	0.023
OR51A2	0.0	0.0	0.0
OR51A4	0.0	0.0	0.0
OR51A7	0.0	0.0	0.0
OR51B4	0.212	0.014	0.0
OR51B5	0.04	0.042	0.043
OR51B6	0.009	0.0	0.0
OR51C1P	0.0	0.0	0.0
OR51D1	0.0	0.0	0.0
OR51E1	0.0	0.008	0.421
OR51E2	0.0	0.01	0.028
OR51F2	0.0	0.0	0.0
OR51G2	0.0	0.0	0.0
OR51H1	0.0	0.0	0.0
OR51I1	0.142	0.0	0.012
OR51I2	0.08	0.0	0.0
OR51J1	0.045	0.0	0.0
OR51L1	0.0	0.0	0.0
OR51M1	0.0	0.0	0.0
OR51Q1	0.0	0.0	0.01
OR51S1	0.0	0.0	0.0
OR51T1	0.0	0.0	0.0
OR51V1	0.0	0.0	0.0
OR52A1	0.0	0.0	0.0
OR52A5	0.0	0.0	0.0
OR52B1P	0.0	0.0	0.0
OR52B2	0.04	0.026	0.0
OR52B4	0.15	0.025	0.0
OR52B6	0.937	0.0	0.034
OR52D1	0.04	0.0	0.0
OR52E2	0.0	0.0	0.0
OR52E4	0.0	0.0	0.0
OR52E6	0.0	0.0	0.0
OR52E8	0.0	0.0	0.0
OR52H1	0.973	0.08	0.111
OR52I1	0.041	0.0	0.0
OR52I2	0.0	0.0	0.0
OR52J3	0.0	0.0	0.0
OR52K1	0.0	0.0	0.0
OR52K2	0.02	0.0	0.0
OR52L1	0.0	0.0	0.0
OR52M1	0.045	0.0	0.0
OR52N1	0.067	0.0	0.0
OR52N2	0.187	0.0	0.0
OR52N4	6.191	0.0	0.033
OR52N5	0.0	0.0	0.0
OR52W1	0.0	0.0	0.0
OR56A1	0.0	0.0	0.0
OR56A3	0.0	0.0	0.0
OR56A4	0.0	0.0	0.0
OR56B1	1.62	0.0	0.028
OR56B3P	0.0	0.0	0.0
OR56B4	0.0	0.0	0.0
OR5A1	0.0	0.0	0.0
OR5A2	0.0	0.0	0.0
OR5AC2	0.0	0.0	0.0
OR5AK2	0.0	0.0	0.0
OR5AN1	0.0	0.0	0.0
OR5AP2	0.0	0.0	0.0
OR5AR1	0.0	0.0	0.0
OR5AS1	0.0	0.0	0.0
OR5AU1	0.0	0.0	0.01
OR5B12	0.102	0.054	0.0
OR5B17	0.0	0.0	0.0
OR5B2	0.246	0.106	0.0
OR5B21	0.056	0.03	0.0
OR5B3	0.0	0.0	0.0
OR5C1	0.237	0.0	0.0
OR5D14	0.0	0.0	0.0
OR5D16	0.0	0.0	0.0
OR5D18	0.0	0.0	0.0
OR5F1	0.0	0.0	0.0
OR5H1	0.0	0.0	0.0
OR5H14	0.0	0.0	0.0
OR5H15	0.0	0.0	0.0
OR5H2	0.0	0.0	0.0
OR5H6	0.0	0.0	0.0
OR5I1	0.0	0.0	0.0
OR5J2	0.0	0.0	0.0
OR5K1	0.0	0.0	0.0
OR5K2	0.102	0.0	0.0
OR5K3	0.0	0.0	0.0
OR5K4	0.0	0.0	0.0
OR5L2	0.0	0.0	0.0
OR5M1	0.0	0.0	0.0
OR5M10	0.0	0.0	0.0
OR5M11	0.0	0.0	0.0
OR5M3	0.0	0.0	0.0
OR5M8	0.0	0.0	0.0
OR5M9	0.0	0.0	0.0
OR5P2	0.0	0.0	0.0
OR5P3	0.0	0.0	0.0
OR5T1	0.0	0.0	0.0
OR5T2	0.0	0.0	0.0
OR5T3	0.0	0.0	0.0
OR5V1	0.0	0.0	0.0
OR5W2	0.0	0.0	0.0
OR6A2	0.0	0.0	0.0
OR6B1	0.0	0.004	0.0
OR6B2	0.0	0.0	0.0
OR6B3	0.0	0.0	0.0
OR6C1	0.0	0.0	0.0
OR6C2	0.0	0.0	0.0
OR6C3	0.0	0.0	0.0
OR6C4	0.0	0.0	0.0
OR6C6	0.0	0.0	0.0
OR6C65	0.0	0.0	0.0
OR6C68	0.0	0.0	0.0
OR6C70	0.0	0.0	0.024
OR6C74	0.0	0.0	0.0
OR6C75	0.0	0.0	0.0
OR6C76	0.0	0.0	0.0
OR6F1	0.0	0.0	0.0
OR6J1	0.0	0.027	0.0
OR6K2	0.0	0.0	0.0
OR6K3	0.0	0.0	0.0
OR6K6	0.0	0.0	0.0
OR6M1	0.0	0.0	0.0
OR6N1	0.0	0.0	0.0
OR6N2	0.015	0.0	0.0
OR6P1	0.0	0.0	0.0
OR6S1	0.0	0.0	0.0
OR6T1	0.0	0.0	0.0
OR6V1	0.033	0.0	0.0
OR6X1	0.0	0.0	0.0
OR6Y1	0.0	0.0	0.0
OR7A10	0.0	0.0	0.0
OR7A17	0.0	0.0	0.0
OR7A2P	0.0	0.0	0.0
OR7A5	0.0	0.0	0.022
OR7C1	0.0	0.0	0.043
OR7C2	0.0	0.0	0.0
OR7D1P	0.0	0.0	0.0
OR7D2	0.027	0.009	0.0
OR7D4	0.0	0.0	0.0
OR7E24	0.0	0.0	0.0
OR7G1	0.0	0.0	0.0
OR7G2	0.0	0.0	0.0
OR7G3	0.0	0.0	0.0
OR8A1	0.0	0.0	0.0
OR8B12	0.0	0.0	0.0
OR8B2	0.0	0.0	0.0
OR8B3	0.0	0.0	0.0
OR8B8	0.0	0.0	0.011
OR8D1	0.0	0.0	0.0
OR8D4	0.0	0.0	0.0
OR8H1	0.0	0.0	0.0
OR8H2	0.0	0.0	0.0
OR8H3	0.0	0.0	0.0
OR8I2	0.0	0.0	0.0
OR8J1	0.0	0.0	0.0
OR8J3	0.0	0.0	0.0
OR8K1	0.0	0.0	0.0
OR8K5	0.0	0.0	0.0
OR8S1	0.0	0.0	0.004
OR8U1	0.0	0.0	0.0
OR9A2	0.0	0.171	0.021
OR9A4	0.039	0.0	0.0
OR9G1	0.0	0.0	0.0
OR9G4	0.0	0.0	0.0
OR9I1	0.0	0.0	0.0
OR9K2	0.0	0.0	0.0
OR9Q1	0.0	0.011	0.0
OR9Q2	0.0	0.0	0.0
ORAI2	4.691	2.623	1.314
ORAI3	5.435	4.287	14.848
ORAOV1	7.447	2.554	2.429
ORC1	3.278	7.194	0.069
ORC2	10.378	4.188	7.34
ORC3	14.59	15.539	14.177
ORC4	8.643	10.741	8.15
ORC5	4.213	4.996	2.68
ORC6	1.803	11.213	2.84
ORM1	1.199	0.0	0.53
ORM2	5.181	0.012	0.244
ORMDL1	64.398	11.01	13.658
ORMDL2	6.199	3.911	6.854
ORMDL3	34.656	8.22	27.354
OS9	34.552	47.214	52.019
OSBP	28.089	9.966	15.786
OSBP2	0.806	5.052	3.794
OSBPL10	0.77	0.862	0.876
OSBPL11	4.088	5.408	9.794
OSBPL1A	1.761	5.665	26.742
OSBPL2	19.135	9.065	14.454
OSBPL3	7.0	0.414	2.481
OSBPL5	2.633	8.41	5.057
OSBPL6	0.035	2.582	2.11
OSBPL7	16.695	10.418	4.376
OSBPL8	26.829	13.276	4.888
OSBPL9	12.14	14.291	13.6
OSCAR	0.534	0.737	0.414
OSCP1	0.474	3.957	2.674
OSER1	118.119	36.564	25.634
OSGEP	23.862	14.204	5.931
OSGEPL1	4.541	3.523	4.897
OSGIN1	1.432	0.351	2.735
OSGIN2	4.981	3.483	6.649
OSM	4.887	0.633	0.54
OSMR	4.055	0.633	7.119
OSR1	0.0	0.082	3.794
OSR2	0.0	0.039	2.164
OSTC	22.006	21.449	30.366
OSTF1	25.82	4.851	35.175
OSTM1	6.254	3.101	16.945
OSTN	0.0	0.013	0.14
OTC	0.0	0.033	0.137
OTOA	0.09	0.11	0.039
OTOF	0.049	0.583	0.081
OTOG	0.0	0.435	0.0
OTOGL	0.0	0.054	4.561
OTOL1	0.0	0.39	0.0
OTOP1	0.004	0.0	0.0
OTOP2	0.0	0.0	0.011
OTOP3	0.0	0.0	0.0
OTOR	0.02	0.051	0.0
OTOS	0.0	0.244	0.0
OTP	0.0	0.013	0.0
OTUB1	25.762	54.516	20.552
OTUB2	1.396	2.046	0.2
OTUD1	27.609	5.633	27.498
OTUD3	8.577	5.055	2.703
OTUD4	30.985	8.996	7.053
OTUD5	61.26	33.372	14.856
OTUD6A	0.0	0.0	0.0
OTUD6B	3.954	3.966	4.366
OTUD7A	0.24	0.883	0.562
OTULIN	15.166	2.837	3.482
OTX1	0.0	13.213	0.008
OTX2	0.0	7.133	0.0
OVCH1	0.0	0.079	0.107
OVCH1-AS1	0.072	0.012	0.101
OVGP1	18.839	1.145	0.49
OVOL1	0.0	0.044	0.016
OVOL2	1.007	1.324	0.399
OVOL3	0.134	0.158	0.014
OXA1L	113.611	46.983	64.215
OXCT1	15.213	9.878	47.689
OXCT2	0.153	0.101	4.801
OXER1	0.691	0.816	0.737
OXGR1	0.0	0.068	0.034
OXLD1	21.967	5.671	27.574
OXNAD1	115.031	2.78	3.265
OXR1	10.952	8.955	8.737
OXSM	5.874	2.353	9.46
OXSR1	9.661	10.372	10.491
OXT	1.316	0.117	0.149
OXTR	0.11	1.539	0.113
P2RX1	1.791	0.025	0.94
P2RX2	0.073	0.402	0.019
P2RX3	0.039	0.027	0.158
P2RX4	8.739	2.403	1.784
P2RX5	6.412	2.279	3.493
P2RX6	0.177	0.304	1.518
P2RX7	3.267	3.71	0.815
P2RY1	0.125	3.457	0.56
P2RY10	71.888	0.0	0.034
P2RY11	49.988	3.852	2.884
P2RY12	0.028	6.362	1.325
P2RY13	0.21	0.25	0.31
P2RY14	0.13	0.275	1.841
P2RY2	0.135	0.01	4.709
P2RY4	0.93	0.164	0.053
P2RY6	0.041	0.075	0.341
P2RY8	76.148	0.063	1.814
P3H1	6.578	8.551	3.436
P3H2	0.011	0.953	2.449
P3H3	0.782	4.939	7.389
P3H4	1.128	6.343	7.435
P4HA1	8.026	29.219	23.362
P4HA2	0.006	1.0	14.843
P4HA3	0.356	0.076	0.051
P4HB	40.707	46.858	118.665
P4HTM	19.473	11.173	8.191
PA2G4	34.143	61.759	42.957
PAAF1	5.856	8.566	4.477
PABPC1	968.762	336.167	52.552
PABPC1L	19.82	12.807	1.163
PABPC1L2A	0.0	0.556	0.0
PABPC1L2B	0.0	0.463	0.0
PABPC3	46.402	16.255	0.107
PABPC4	59.052	17.688	45.799
PABPC5	0.0	2.03	1.428
PABPN1	67.763	68.379	59.186
PABPN1L	0.066	0.2	0.078
PACRG	0.195	2.425	2.119
PACRG-AS3	0.049	0.0	0.01
PACRGL	2.162	4.214	2.805
PACS1	115.784	48.172	14.629
PACS2	12.934	37.764	17.648
PACSIN1	1.905	4.398	13.683
PACSIN2	13.245	13.732	30.689
PACSIN3	0.268	6.559	86.823
PADI1	0.0	0.022	0.011
PADI2	0.413	1.002	0.048
PADI3	0.0	0.009	0.0
PADI4	1.827	0.0	0.031
PAEP	0.0	0.0	0.0
PAF1	23.7	43.916	42.603
PAFAH1B1	40.454	50.552	33.997
PAFAH1B2	14.729	19.669	13.331
PAFAH1B3	8.328	295.78	2.64
PAFAH2	11.697	2.448	2.13
PAG1	82.418	8.178	1.293
PAGE1	0.0	0.0	0.0
PAGE2	0.104	0.048	0.0
PAGE2B	0.524	0.111	0.018
PAGE3	0.0	0.0	0.0
PAGE4	0.0	0.0	0.006
PAGE5	0.058	0.0	0.0
PAH	0.021	0.118	0.008
PAICS	14.844	59.226	19.348
PAIP1	7.186	11.012	8.742
PAIP2	66.806	106.022	89.234
PAIP2B	2.517	4.357	15.094
PAK1	5.416	14.929	3.822
PAK1IP1	5.756	9.783	10.095
PAK2	42.832	62.04	24.3
PAK3	0.069	15.303	0.042
PAK4	3.628	26.424	13.664
PAK5	0.0	23.478	0.06
PAK6	0.062	4.545	6.836
PALB2	4.404	3.722	2.059
PALD1	0.196	6.569	3.569
PALLD	0.236	19.826	95.525
PALM	0.029	133.111	26.036
PALM2	0.002	0.838	1.899
PALM2-AKAP2	7.114	2.846	48.136
PALM3	0.369	3.214	0.429
PALMD	0.0	1.625	31.019
PAM	2.052	10.386	811.013
PAM16	13.237	27.599	80.501
PAMR1	0.0	0.187	4.192
PAN2	35.54	11.238	11.622
PAN3	40.802	7.931	4.178
PANK1	0.07	4.916	3.886
PANK2	5.963	3.832	5.018
PANK3	22.261	16.912	6.128
PANK4	10.515	7.899	19.615
PANX1	3.247	14.607	4.975
PANX2	0.062	5.534	0.729
PANX3	0.093	0.017	0.0
PAOX	1.15	4.461	2.162
PAPD4	29.75	5.861	7.092
PAPD5	8.327	1.992	2.214
PAPD7	39.963	20.332	4.763
PAPLN	1.081	0.15	3.035
PAPOLA	25.538	30.907	26.319
PAPOLB	0.0	0.093	0.184
PAPOLG	8.463	7.389	2.906
PAPPA	0.314	0.039	0.679
PAPPA-AS1	0.551	0.023	0.075
PAPPA2	0.004	0.566	0.176
PAPSS1	5.269	48.901	9.455
PAPSS2	4.25	1.687	5.654
PAQR3	5.402	2.38	1.908
PAQR4	0.402	19.706	9.516
PAQR5	0.044	0.594	0.344
PAQR6	2.18	37.97	1.186
PAQR7	2.459	3.41	1.705
PAQR8	3.301	5.349	3.152
PAQR9	0.0	0.155	2.83
PARD3	0.079	13.741	7.102
PARD3B	0.155	1.855	2.617
PARD6A	2.157	10.366	2.746
PARD6B	2.208	0.672	1.196
PARD6G	0.26	4.3	0.828
PARG	5.355	3.868	5.446
PARK2	1.702	1.649	10.164
PARK7	26.002	80.18	171.236
PARL	22.255	14.132	29.251
PARM1	0.132	1.086	69.944
PARN	27.966	10.544	12.624
PARP1	15.651	42.921	18.172
PARP10	19.223	2.045	5.19
PARP11	9.51	7.411	1.727
PARP12	26.303	0.462	3.01
PARP14	12.636	1.044	4.607
PARP15	45.311	0.067	0.603
PARP16	9.968	12.923	2.936
PARP2	5.548	20.019	6.496
PARP3	7.445	3.116	7.529
PARP4	29.447	11.364	9.331
PARP6	59.325	128.298	16.878
PARP8	28.448	1.415	1.232
PARP9	14.322	1.11	3.326
PARPBP	0.574	2.873	0.162
PARS2	0.101	1.411	2.074
PARVA	0.023	6.084	18.671
PARVB	1.49	2.766	22.058
PARVG	49.924	0.781	1.327
PASD1	0.0	0.0	0.005
PASK	20.487	4.903	0.432
PATE1	0.027	0.0	0.0
PATE2	0.052	0.145	0.043
PATE3	0.0	0.0	0.0
PATE4	0.015	0.0	0.0
PATJ	17.658	3.686	16.686
PATL1	29.786	33.934	11.444
PATL2	16.022	0.018	0.729
PATZ1	34.632	28.763	4.821
PAWR	0.363	2.677	2.674
PAX1	0.0	0.0	0.0
PAX2	0.0	0.009	0.0
PAX3	0.0	0.037	0.095
PAX4	0.0	0.033	0.0
PAX5	0.058	0.003	0.001
PAX6	0.491	18.044	0.008
PAX7	0.0	0.018	0.0
PAX8	0.469	0.022	0.016
PAX9	0.0	0.0	0.004
PAXBP1	20.644	14.533	5.194
PAXIP1	5.334	4.179	2.379
PAXIP1-AS2	8.819	0.193	1.579
PBDC1	21.056	16.661	15.442
PBK	0.04	20.274	0.099
PBLD	2.4	1.876	1.519
PBOV1	0.0	0.0	0.0
PBRM1	16.381	25.718	6.989
PBX1	0.131	18.875	5.471
PBX2	40.716	9.802	24.435
PBX3	13.723	29.658	29.903
PBX4	15.251	12.725	0.117
PBXIP1	151.437	19.053	67.621
PC	1.954	8.25	6.013
PCBD1	2.234	34.127	101.998
PCBD2	3.56	1.151	3.746
PCBP1	218.178	371.708	272.923
PCBP2	139.031	200.131	59.715
PCBP3	1.076	9.115	0.728
PCBP4	6.587	59.864	49.516
PCCA	3.121	4.005	13.216
PCCB	6.99	7.966	13.274
PCDH1	0.0	7.989	7.353
PCDH10	0.0	16.689	0.633
PCDH11X	0.002	2.864	0.006
PCDH11Y	0.0	1.751	0.007
PCDH12	1.963	0.348	3.37
PCDH15	0.0	0.566	0.285
PCDH17	0.01	10.124	1.509
PCDH18	0.018	4.65	2.272
PCDH19	0.011	2.878	0.238
PCDH7	0.0	3.811	0.486
PCDH8	0.0	8.082	0.0
PCDH9	0.118	13.779	5.049
PCDHA1	0.0	8.935	0.207
PCDHA10	0.0	9.502	0.221
PCDHA11	0.0	9.593	0.214
PCDHA12	0.0	9.206	0.219
PCDHA13	0.0	9.623	0.22
PCDHA2	0.0	8.421	0.192
PCDHA3	0.0	9.642	0.232
PCDHA4	0.0	9.28	0.216
PCDHA5	0.0	8.88	0.21
PCDHA6	0.0	9.316	0.231
PCDHA7	0.0	9.729	0.224
PCDHA8	0.0	9.175	0.214
PCDHA9	0.0	5.384	0.118
PCDHAC1	0.0	8.174	0.197
PCDHAC2	0.0	8.845	0.197
PCDHB1	0.0	0.045	0.0
PCDHB10	0.0	7.264	1.174
PCDHB11	0.0	4.271	0.469
PCDHB12	0.0	4.301	0.851
PCDHB13	0.031	5.877	2.36
PCDHB14	0.015	9.006	3.115
PCDHB15	0.057	14.118	2.971
PCDHB17P	0.0	0.747	0.105
PCDHB2	0.031	6.511	0.672
PCDHB3	0.027	6.407	0.677
PCDHB4	0.036	5.536	1.54
PCDHB5	0.126	7.282	1.547
PCDHB6	0.0	2.962	0.385
PCDHB7	0.0	2.189	0.634
PCDHB8	0.0	2.653	0.97
PCDHGA1	0.276	121.488	29.186
PCDHGA10	0.353	127.161	30.038
PCDHGA11	0.272	111.273	25.186
PCDHGA12	0.262	119.673	30.006
PCDHGA2	0.267	123.127	30.009
PCDHGA3	0.279	124.269	30.449
PCDHGA5	0.298	125.01	30.462
PCDHGA6	0.399	127.013	30.531
PCDHGA7	0.358	123.268	30.268
PCDHGA8	0.27	122.199	29.989
PCDHGB1	0.271	123.605	30.054
PCDHGB2	0.341	124.921	30.333
PCDHGB4	0.299	125.976	30.637
PCDHGB6	0.435	129.887	31.105
PCDHGB7	0.28	133.547	31.351
PCDHGC3	0.277	154.469	32.215
PCDHGC4	0.356	134.035	29.873
